Full Name,smiles,Concentration (μmol/mL),C atom,H atom,N atom,F atom,O atom,Ipc,Molecular weight,Hydrogen bond donor,Hydrogen bond acceptor,Rotatable bond,Complexity,MolLogP
2-hydroxyethan-1-aminium iodide,[I-].[NH3+]CCO,1,2,8,1,0,1,6.854752972,188.996,2,1,1,11.60964047,-4.7754
2-(perylen-3-yloxy)ethan-1-aminium iodide,[I-].[NH3+]CCOc1ccc2c3cccc4cccc(c5cccc1c25)c34,1,22,18,1,0,1,719801.1451,439.296,1,1,3,1148.268234,1.3619
2-(pyren-1-yloxy)ethan-1-aminium iodide,[I-].[NH3+]CCOc1ccc2ccc3cccc4ccc1c2c34,1,18,16,1,0,1,76978.66287,389.236,1,1,3,887.6599296,0.2087
2-(naphthalen-1-yloxy)ethan-1-aminium iodide,[I-].[NH3+]CCOc1cccc2ccccc12,1,12,14,1,0,1,2437.378898,315.154,1,1,3,425.3965626,-1.5355
"2-([2,2'-bithiophen]-5-ylthio)ethan-1-aminium iodide",[I-].[NH3+]CCSc1sc(cc1)c2sccc2,1,10,12,1,0,0,3303.711928,369.318,1,3,4,383.037776,-0.1854
Methylhydrazinium iodide,[I-].C[NH2+]N,1,1,7,2,0,0,2.754887502,173.985,2,1,0,6,-4.9427
Piperazinium iodide,[I-].C1C[NH2+]CCN1,1,4,11,2,0,0,34.39946188,214.05,2,1,0,25.16125946,-4.843
"4,4'-bipyridine iodide",[I-].c1cc(ccn1)c2ccncc2,1,10,8,2,0,0,1023.952729,283.092,0,2,1,310.3177559,-0.8524
1-(4-chlorophenyl)ethylammonium iodide,[I-].CC([NH3+])c1ccc(Cl)cc1,1,9,11,1,0,0,180.9125147,283.54,1,0,1,207.8369723,-1.3531
1-(1-naphthyl)ethylammonium iodide,[I-].CC([NH3+])c1cccc2ccccc12,1,12,14,1,0,0,1269.222327,299.155,1,0,1,418.0961726,-0.8533
1-phenylethan-1-aminium iodide,[I-].CC([NH3+])c1ccccc1,1,8,12,1,0,0,129.2253387,249.095,1,0,1,171.8722824,-2.0065
1-(m-tolyl)propan-2-aminium iodide,[I-].CC([NH3+])Cc1cccc(C)c1,1,10,16,1,0,0,268.0183748,277.149,1,0,2,233.0351181,-1.82808
4-methyl-1-phenylpent-4-en-2-aminium iodide,[I-].CC(=C)CC([NH3+])Cc1ccccc1,1,12,18,1,0,0,790.2002544,303.187,1,0,4,268.9100352,-1.1902
(2-carboxy)propylammonium iodide,[I-].CC(C[NH3+])C(O)=O,1,4,10,1,0,2,27.9770933,231.033,2,1,2,76.4385619,-4.047
1-aminoethan-1-iminium iodide,[I-].CC(N)=[NH2+],1,2,7,2,0,0,3.245112498,185.996,2,0,0,30.62919048,-4.8734
1-(1-naphthyl)ethylamine iodide,[I-].CC(N)c1cccc2ccccc12,1,12,13,1,0,0,1269.222327,298.147,1,1,1,418.0961726,-0.1365
4-carboxy-cyclohexyl-ethylammonium iodide,[I-].CC[NH2+]C1CCC(CC1)C(O)=O,1,9,18,1,0,2,535.0628081,299.152,2,1,3,155.6936914,-2.7829
2-(p-tolyl)ethan-1-aminium iodide,[I-].Cc1ccc(CC[NH3+])cc1,1,9,14,1,0,0,210.075617,263.122,1,0,2,193.222636,-2.21658
1-(p-tolyl)butan-2-aminium iodide,[I-].CCC([NH3+])Cc1ccc(C)cc1,1,11,18,1,0,0,534.2865081,291.176,1,0,3,230.3505242,-1.43798
butan-2-aminium iodide,[I-].CCC(C)[NH3+],1,4,12,1,0,0,9.651484454,201.051,1,0,1,21.509775,-2.9692
(2-carboxy)butylammonium iodide,[I-].CCC(C[NH3+])C(O)=O,1,5,12,1,0,2,47.19725257,245.06,2,1,3,83.02718015,-3.6569
3-ethyl-3-phenylpentan-1-aminium iodide,[I-].CCC(CC)(CC[NH3+])c1ccccc1,1,13,22,1,0,0,1672.566362,319.23,1,0,5,254.4982799,-0.6196
Butylammonium iodide,[I-].CCCC[NH3+],1,4,12,1,0,0,11.2451125,201.051,1,0,2,15.01955001,-2.9676
pyrene-butylammonium iodide,[I-].CCCC[NH3+].c1cc2ccc3cccc4ccc(c1)c2c34,1,20,22,1,0,0,97820.35263,403.307,1,0,2,721.9186249,1.6164
2-ethyl-hexylammonium iodide,[I-].CCCCC(CC)C[NH3+],1,8,20,1,0,0,99.31601295,257.159,1,0,5,53.21928095,-1.5513
Pentylammonium iodide,[I-].CCCCC[NH3+],1,5,14,1,0,0,20.98630086,215.078,1,0,3,20.04184398,-2.5775
1-methyl-hexylammonium iodide,[I-].CCCCCC(C)[NH3+],1,7,18,1,0,0,48.27551104,243.132,1,0,4,46.18080947,-1.7989
Heptylammonium iodide,[I-].CCCCCCC[NH3+],1,7,18,1,0,0,61.49961227,243.132,1,0,5,33.89739057,-1.7973
Nonylammonium iodide,[I-].CCCCCCCCC[NH3+],1,9,22,1,0,0,175.076748,271.186,1,0,7,49.52442279,-1.0171
Decylammonium iodide,[I-].CCCCCCCCCC[NH3+],1,10,24,1,0,0,292.886063,285.213,1,0,8,58.85891909,-0.627
1-methyl-1H-imidazol-3-ium iodide,[I-].Cn1cc[nH+]c1,1,4,7,2,0,0,33.54887502,210.018,0,1,0,113.250215,-3.1568
Methoxyphenethylammonium iodide,[I-].CO[NH2+]CCc1ccccc1,1,9,14,1,0,1,414.0733221,279.121,1,1,4,190.9798405,-2.6421
(4-methoxyphenyl)methanaminium iodide,[I-].COc1ccc(C[NH3+])cc1,1,8,12,1,0,1,237.5874173,265.094,1,1,2,174.7519611,-2.5589
2-(3-methoxyphenyl)ethan-1-aminium iodide,[I-].COc1cccc(CC[NH3+])c1,1,9,14,1,0,1,374.2674096,279.121,1,1,3,227.5234495,-2.5164
2-(2-methoxyphenyl)ethan-1-aminium iodide,[I-].COc1ccccc1CC[NH3+],1,9,14,1,0,1,383.4902886,279.121,1,1,3,227.5234495,-2.5164
2-(methylthio)ethan-1-aminium iodide,[I-].CSCC[NH3+],1,3,10,1,0,0,11.2451125,219.091,1,1,2,18.26466251,-3.4047
trans-4-aminocyclohexanecarboxylic acid iodide,[I-].N[C@@H]1CC[C@H](CC1)C(O)=O,1,7,13,1,0,2,180.9125147,270.09,2,2,1,132.4022634,-2.4075
cis-4-aminocyclohexanecarboxylic acid iodide,[I-].N[C@H]1CC[C@H](CC1)C(O)=O,1,7,13,1,0,2,180.9125147,270.09,2,2,1,132.4022634,-2.4075
aminoiodomethaniminium iodide,[I-].NC(I)=[NH2+],1,1,4,2,0,0,3.245112498,297.865,2,0,0,30.62919048,-4.5008
aminomethaniminium iodide,[I-].NC=[NH2+],1,1,5,2,0,0,2.754887502,171.969,2,0,0,13.509775,-5.2635
3-aminopyrrolidinium iodide,[I-].NC1CC[NH2+]C1,1,4,11,2,0,0,33.54887502,214.05,2,1,0,42.95445336,-4.7152
4-(aminomethyl)pyridinium iodide,[I-].NCc1cc[nH+]cc1,1,6,9,2,0,0,91.36757728,236.056,1,1,1,152.4038489,-3.0366
4-(aminomethyl)piperidinium iodide,[I-].NCC1CC[NH2+]CC1,1,6,15,2,0,0,91.36757728,242.104,2,1,1,62.07820003,-4.0775
3-(aminomethyl)pyridinium iodide,[I-].NCc1ccc[nH+]c1,1,6,9,2,0,0,91.36757728,236.056,1,1,1,152.4038489,-3.0366
3-(aminomethyl)piperidinium iodide,[I-].NCC1CCC[NH2+]C1,1,6,15,2,0,0,91.36757728,242.104,2,1,1,62.07820003,-4.0775
"2,2'-bithiophene iodide",[I-].s1cccc1c2sccc2,1,8,6,0,0,0,497.6123456,293.174,0,2,1,251.5012089,0.4806
